instance_id,best_usage,idle_time,labs,counted_students
inst_1,278,112,10,34
inst_2,116,94,6,17
inst_3,178,60,7,21
inst_4,94,31,5,14
inst_5,232,138,10,31
inst_6,114,21,5,15
inst_7,162,72,9,22
inst_8,171,99,9,20
inst_9,179,61,8,24
inst_10,157,75,8,20
inst_11,227,133,10,32
inst_12,152,64,6,16
inst_13,196,54,10,27
inst_14,165,95,10,23
inst_15,89,106,5,13
inst_16,146,62,8,27
inst_17,145,37,7,21
inst_18,87,103,5,11
inst_19,163,45,8,32
inst_20,152,172,9,19
inst_21,112,43,5,20
inst_22,223,119,9,30
inst_23,200,115,9,30
inst_24,144,36,6,20
inst_25,261,79,10,38
inst_26,113,62,5,18
inst_27,175,91,7,24
inst_28,144,84,6,18
inst_29,207,72,9,26
inst_30,142,90,8,19
inst_31,190,130,10,26
inst_32,160,128,8,24
inst_33,112,53,5,13
inst_34,103,47,6,18
inst_35,244,86,10,37
inst_36,179,91,9,23
inst_37,195,48,9,27
inst_38,149,155,8,22
inst_39,209,151,9,24
inst_40,154,56,7,18
inst_41,231,102,9,25
inst_42,170,200,10,27
inst_43,112,92,6,15
inst_44,168,172,10,24
inst_45,104,31,5,12
inst_46,152,76,6,16
inst_47,172,52,8,20
inst_48,114,48,6,13
inst_49,228,152,10,30
inst_50,165,59,7,24
